request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_39,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 208600.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_40,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1290.30 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_41,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 38760000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,The requested amount of INR 52100.00 is affordable immediately without dipping below the required minimum balance.
request_43,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 43339000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_44,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 95800.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_45,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 21983000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_46,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 49450.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_47,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 38114000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700.00,2026-07-25,none,The requested amount of INR 45700.00 is affordable immediately without dipping below the required minimum balance.
request_49,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 34333000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_50,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 43900.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_51,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 2191000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_52,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 28870.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_53,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 1699.20 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_54,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 121528.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_55,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 218600.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_56,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 881.56 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_57,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 61446.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_58,16226000.00,affordable_now,full_payment,2024-12-07:16226000.00,2024-12-07,none,The requested amount of IDR 16226000.00 is affordable immediately without dipping below the required minimum balance.
request_59,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 140600.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,The requested amount of USD 199.89 is affordable immediately without dipping below the required minimum balance.
request_61,29062.00,affordable_with_plan,installments,2024-03-03:29062.00,2024-03-03,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_62,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 404.23 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_63,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 343900.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_64,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 63700.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_65,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 54340.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_66,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 22200.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_67,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 2094.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_68,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 2091.60 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_69,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 529.10 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_70,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 243900.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_71,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 21451000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_72,11330.00,affordable_now,full_payment,2026-07-05:11330.00,2026-07-05,none,The requested amount of ZAR 11330.00 is affordable immediately without dipping below the required minimum balance.
request_73,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 71400.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_74,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 5010.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_75,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 28270.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_76,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 4455.60 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_77,60700.00,affordable_now,full_payment,2025-11-05:60700.00,2025-11-05,none,The requested amount of INR 60700.00 is affordable immediately without dipping below the required minimum balance.
request_78,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 50200.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_79,1075.80,affordable_with_plan,partial_payment,2024-09-04:1075.80|2024-09-15:1075.80,2024-09-15,none,The expense is affordable using the recommended payment method (partial_payment) while maintaining minimum balance rules.
request_80,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 217500.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_81,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 2076.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_82,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 1405.20 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_83,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 156200.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_84,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 95400.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_85,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 19304000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_86,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 46300.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_87,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 487900.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_88,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 26092.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_89,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 13756000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_90,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 2560.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_91,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1927.20 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,The requested amount of ZAR 34034.00 is affordable immediately without dipping below the required minimum balance.
request_93,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 1729.20 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_94,572.00,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,The requested amount of EUR 572.00 is affordable immediately without dipping below the required minimum balance.
request_95,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 553000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_96,90200.00,affordable_with_plan,installments,2026-01-03:90200.00,2026-01-03,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_97,8145.28,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-20,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_98,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 27148.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_99,18062.00,affordable_now,full_payment,2026-07-04:18062.00,2026-07-04,none,The requested amount of ZAR 18062.00 is affordable immediately without dipping below the required minimum balance.
request_100,12866.19,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-08-14,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_101,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 143500.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_102,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1716.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_103,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 368300.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_104,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 17204.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_105,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 53500.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_106,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 2207.70 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_107,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 2534.40 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_108,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 55308.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_109,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1863.40 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_110,22352.00,affordable_with_plan,installments,2025-08-06:22352.00,2025-08-06,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_111,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 16625000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,The requested amount of EUR 271.70 is affordable immediately without dipping below the required minimum balance.
request_113,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 36500.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_114,65300.00,affordable_now,full_payment,2026-01-04:65300.00,2026-01-04,none,The requested amount of INR 65300.00 is affordable immediately without dipping below the required minimum balance.
request_115,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 80500.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_116,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 241200.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_117,880.00,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,none,The requested amount of EUR 880.00 is affordable immediately without dipping below the required minimum balance.
request_118,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 738.10 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_119,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 203500.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,The requested amount of IDR 7714000.00 is affordable immediately without dipping below the required minimum balance.
request_121,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 633.60 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:20558000.00,2025-08-05,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_123,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 4076000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_124,1076.12,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-12,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_125,6468.00,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,none,The requested amount of ZAR 6468.00 is affordable immediately without dipping below the required minimum balance.
request_126,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 159600.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_127,23980.00,affordable_now,full_payment,2024-09-05:23980.00,2024-09-05,none,The requested amount of ZAR 23980.00 is affordable immediately without dipping below the required minimum balance.
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,The requested amount of ZAR 25168.00 is affordable immediately without dipping below the required minimum balance.
request_129,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 2668.80 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_130,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 1978.80 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_131,1855.20,affordable_with_plan,installments,2025-05-03:1855.20,2025-05-03,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,The requested amount of USD 379.86 is affordable immediately without dipping below the required minimum balance.
request_133,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 15770000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_134,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 21831000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_135,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 304.80 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_136,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 560.40 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_137,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 80100.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_138,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1256.94 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_139,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 2316.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_140,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 62832.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_141,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 171600.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,The requested amount of USD 1263.60 is affordable immediately without dipping below the required minimum balance.
request_143,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 12584.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,The requested amount of USD 233.34 is affordable immediately without dipping below the required minimum balance.
request_145,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 217400.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_146,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 449400.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_147,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1129.70 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_148,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 22242.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_149,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 36652.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_150,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 496.10 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_151,26999000.00,affordable_now,full_payment,2024-09-03:26999000.00,2024-09-03,none,The requested amount of IDR 26999000.00 is affordable immediately without dipping below the required minimum balance.
request_152,13882.00,affordable_with_plan,installments,2025-02-05:13882.00,2025-02-05,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_153,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 2830.80 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:1625.80,2024-12-04,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_155,112500.00,affordable_now,full_payment,2025-05-06:112500.00,2025-05-06,none,The requested amount of INR 112500.00 is affordable immediately without dipping below the required minimum balance.
request_156,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 43076.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_157,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 23503000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_158,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 242600.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_159,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 13398.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_160,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1246.30 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_161,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 21204000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_162,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 83923000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_163,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 19304000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_164,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 27018000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_165,80600.00,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,The requested amount of INR 80600.00 is affordable immediately without dipping below the required minimum balance.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:2907.60,2024-12-03,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_167,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 43802.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_168,24690.00,affordable_with_plan,partial_payment,2026-01-07:24690.00|2026-01-08:24690.00,2026-01-08,none,The expense is affordable using the recommended payment method (partial_payment) while maintaining minimum balance rules.
request_169,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 41976.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_170,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 36936000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_171,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1878.80 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_172,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 10200.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_173,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 113000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_174,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1146.20 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,The requested amount of EUR 2346.30 is affordable immediately without dipping below the required minimum balance.
request_176,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1239.70 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,The requested amount of USD 1017.60 is affordable immediately without dipping below the required minimum balance.
request_178,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 2938.10 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_179,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 41648000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_180,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 66500.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_181,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 5059.20 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_182,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 65714.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_183,26866000.00,affordable_with_plan,installments,2026-04-07:26866000.00,2026-04-07,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_184,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 251900.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_185,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1257.30 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_186,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 26554.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_187,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 187500.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_188,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 2464.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_189,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 488.40 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_190,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 2557.50 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_191,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 664.40 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_192,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 2046.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_193,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1212.20 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_194,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 132800.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_195,1170.40,affordable_with_plan,installments,2026-01-06:1170.40,2026-01-06,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,The requested amount of EUR 762.30 is affordable immediately without dipping below the required minimum balance.
request_197,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 50939000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_198,185800.00,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,The requested amount of INR 185800.00 is affordable immediately without dipping below the required minimum balance.
request_199,23674000.00,affordable_with_plan,installments,2024-09-04:23674000.00,2024-09-04,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_200,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 21717000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_201,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 23997000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_202,123900.00,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,The requested amount of INR 123900.00 is affordable immediately without dipping below the required minimum balance.
request_203,1442.10,affordable_with_plan,installments,2025-05-07:1442.10,2025-05-07,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_204,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 588.74 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,The requested amount of IDR 10621000.00 is affordable immediately without dipping below the required minimum balance.
request_206,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1404.70 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_207,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 11830.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_208,4413000.00,affordable_now,full_payment,2024-06-07:4413000.00,2024-06-07,none,The requested amount of IDR 4413000.00 is affordable immediately without dipping below the required minimum balance.
request_209,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 56914.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_210,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 1360.02 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_211,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1788.60 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_212,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 71934000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_213,3362.40,affordable_with_plan,installments,2026-01-07:3362.40,2026-01-07,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
request_214,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 69750.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_215,29986.00,affordable_with_plan,installments,2025-05-06:29986.00,2025-05-06,none,The expense is affordable using the recommended payment method (installments) while maintaining minimum balance rules.
